X,Y,T (degC) @ t=0,T (degC) @ t=10,T (degC) @ t=20,T (degC) @ t=30,T (degC) @ t=40,T (degC) @ t=50,T (degC) @ t=60,T (degC) @ t=70,T (degC) @ t=80,T (degC) @ t=90,T (degC) @ t=100
6.501314371419832E-4,6.813937017970384E-4,20.000000000000284,20.00000000344278,20.00000081721612,20.000007068542516,20.000034230667723,20.000120454531782,20.0002757149079,20.000567962194282,20.001105763435078,20.002056362351823,20.003660359315063
0,9.999999999999994E-4,19.999999999999773,20.000000003485297,20.00000082480716,20.000007126989885,20.000034484932257,20.00012126233412,20.000277469624166,20.00057139054786,20.001112063964115,20.002067373402667,20.003678707998574
0,0,19.999999999999886,20.000000003404864,20.000000810649226,20.000007017975122,20.000034010642935,20.000119755389164,20.000274196090572,20.000564994491583,20.0011003090101,20.00204682916393,20.00364447197478
0.001000000000000012,0,19.999999999999886,20.00000000340475,20.000000810647407,20.000007017963583,20.000034010598824,20.00011975526502,20.000274195837903,20.00056499402922,20.001100308219463,20.00204682788575,20.003644470015047
7.372831669650299E-4,0.0015165112098998327,20.000000000000455,20.000000003588866,20.000000843340842,20.00000726958166,20.000035104866413,20.000123230828763,20.000281744453957,20.00057974053675,20.001127405304885,20.002094177456854,20.00372336234051
0,0.0019999999999999987,19.999999999999886,20.000000003726143,20.000000867784934,20.00000745745325,20.000035920985965,20.00012582045605,20.000287366141208,20.000590717597277,20.00114756632877,20.002129390054336,20.00378200474313
0.002000000000000013,0,19.999999999999886,20.000000003403954,20.000000810646156,20.00000701796148,20.00003401059331,20.00011975525092,20.00027419581022,20.000564993979822,20.001100308135904,20.00204682775143,20.00364446981024
0.001513374018744874,8.904572990853603E-4,20.00000000000051,20.00000000346847,20.000000821870913,20.000007104385304,20.00003438660201,20.000120949951565,20.00027679107893,20.000570064839167,20.001109627668257,20.002063115729754,20.00367161321566
7.772847092385315E-4,0.0024879224896734407,20.000000000000455,20.00000000390554,20.000000899623217,20.00000770181822,20.000036981329174,20.000129181819887,20.000294659610006,20.000604952442416,20.00117369841854,20.002175009853204,20.00385794354122
0,0.002999999999999998,19.999999999999886,20.000000004142805,20.000000941075086,20.000008019400752,20.000038357408414,20.000133538784155,20.000304107472402,20.000623381198125,20.001207509235314,20.002233998934685,20.003956078192118
0.0025556103661739135,8.061595911168615E-4,20.000000000000455,20.000000003455966,20.00000081983967,20.000007088757457,20.00003431863138,20.00012073404025,20.0002763221093,20.000569148633247,20.001107944009505,20.00206017350854,20.003666710671496
0.003000000000000014,0,19.999999999999886,20.000000003402818,20.000000810644337,20.000007017956307,20.000034010576485,20.000119755205276,20.000274195718703,20.00056499381367,20.00110030785288,20.0020468272956,20.003644469113226
0.0015299613977541096,0.0019817567414819773,20.000000000000455,20.00000000371972,20.000000866733274,20.00000744937944,20.000035885938473,20.00012570930977,20.00028712492849,20.0005902467268,20.00114670174389,20.00212788041847,20.003779491313367
0.0022317867625876574,0.0015462975804903779,20.000000000000284,20.000000003595233,20.00000084464574,20.000007279620718,20.000035148500558,20.000123369340997,20.000282045204244,20.00058032790338,20.001128484303308,20.002096062370754,20.003726502047186
7.960813877990102E-4,0.003489800915449306,20.000000000000455,20.000000004419178,20.000000988765123,20.00000838401519,20.000039934623317,20.000138525427587,20.000314912858528,20.000644443227827,20.001246123751685,20.002301320685206,20.0040679959979
0,0.0039999999999999975,19.999999999999773,20.000000004760295,20.000001047241483,20.00000883002963,20.000041860189924,20.000144603291062,20.00032807155077,20.000670071531204,20.001293070923055,20.002383101436862,20.004203838769627
0.0035251758753330697,8.096870467015606E-4,20.000000000000455,20.000000003454943,20.00000081991851,20.00000708937398,20.000034321319788,20.000120742589502,20.00027634068806,20.000569184945505,20.001108010765904,20.00206029021342,20.003666905210082
0.0040000000000000036,0,19.999999999999886,20.00000000340185,20.000000810642916,20.00000701795301,20.00003401056722,20.00011975518089,20.000274195670443,20.000564993726698,20.0011003077056,20.002046827059417,20.00364446875352
0.0015998626715049036,0.00297384674325543,20.000000000000455,20.000000004129106,20.000000938753715,20.000008001633205,20.000038280478122,20.0001332953546,20.000303579770105,20.000622352177174,20.00120562187965,20.002230707093474,20.003950603489102
0.003063650569840929,0.0016125357361945957,20.000000000000455,20.00000000361092,20.000000847636784,20.000007302631957,20.00003524851985,20.000123686858956,20.000282734648522,20.000581674428986,20.001130957957855,20.00210038375434,20.003733700402904
0.0024963374604244602,0.0024405785345730947,20.00000000000051,20.000000003885475,20.000000896212555,20.000007675662346,20.00003686789495,20.000128822382408,20.000293879876097,20.000603430933666,20.001170905853087,20.002170135807148,20.00384983190696
8.004313317662311E-4,0.004492790937129312,20.000000000000455,20.000000005146887,20.000001112734196,20.000009328216777,20.00004400628501,20.000151364511055,20.00034269566379,20.00069852785407,20.00134514976179,20.002473735840965,20.004354247783226
0,0.004999999999999997,19.999999999999886,20.000000005608456,20.000001189986108,20.000009914094846,20.00004652398286,20.000159279878517,20.000359797795113,20.000731772038932,20.001405927422468,20.00257939769142,20.00452941267332
0.004507967908014219,8.130749650436192E-4,20.000000000000455,20.000000003453863,20.00000081999457,20.000007089971177,20.00003432392407,20.00012075086795,20.00027635867434,20.00056922009179,20.001108075363675,20.002060403117866,20.003667093368904
0.0050000000000000044,0,19.999999999999886,20.000000003400373,20.000000810640984,20.000007017949713,20.000034010559716,20.000119755162416,20.000274195634745,20.000564993663886,20.001100307599927,20.00204682689082,20.003644468498067
0.0015985884906922296,0.003984235217063942,20.000000000000455,20.000000004748358,20.00000104529306,20.000008815193496,20.000041796210724,20.000144401537227,20.000327634959376,20.000669221599082,20.001291514701506,20.002380391810107,20.004199339997683
0.004030739163951412,0.0016275181279703564,20.000000000000455,20.000000003613366,20.00000084833073,20.00000730797848,20.00003527175835,20.000123760621534,20.000282894801558,20.000581987194266,20.001131532482816,20.002101387348375,20.003735372010453
0.0023917516943648136,0.003472126155726852,20.000000000000455,20.00000000440724,20.00000098689867,20.00000836977,20.000039873071103,20.000138330993764,20.00031449173656,20.00064362272093,20.001244620114107,20.00229870034599,20.004063641746427
0.003549857989750093,0.0024491817607624217,20.000000000000455,20.000000003887862,20.00000089682254,20.00000768035187,20.00003688825052,20.000128886919697,20.000294019916396,20.000603704267007,20.00117140765701,20.002171011863197,20.003851290250736
0.0031423477687198727,0.00316353347675647,20.000000000000284,20.000000004228525,20.000000956118413,20.000008134492987,20.000038855522916,20.000135114351565,20.000307522275307,20.000630038795805,20.001219717725007,20.00225528823148,20.003991477796774
8.030531359727923E-4,0.0054944116362925,20.000000000000455,20.000000006127266,20.000001275548982,20.000010560885926,20.000049296044722,20.000167975024738,20.000378562694266,20.000768207579995,20.00147246322689,20.002694936429577,20.004720732670876
0,0.005999999999999997,19.999999999999886,20.000000006734524,20.00000137428941,20.000011304661314,20.000052474579377,20.00017792044207,20.00039999841283,20.000809778331018,20.001548281864757,20.00282642910713,20.004938199920957
0.005506202698491457,8.125997222971467E-4,20.000000000000455,20.000000003452612,20.000000819982006,20.00000708988466,20.000034323553734,20.000120749695668,20.000276356130826,20.000569215126006,20.001108066242296,20.002060387183747,20.003667066826722
0.006000000000000005,0,19.999999999999886,20.000000003398895,20.00000081063905,20.0000070179467,20.000034010553236,20.00011975514684,20.00027419560513,20.00056499361193,20.001100307513184,20.002046826752974,20.00364446828962
0.001604242301557541,0.004988002026479987,20.000000000000455,20.000000005596235,20.00000118803655,20.00000989933659,20.00004646064707,20.000159080985213,20.00035936831307,20.000730937650758,20.001404402848493,20.00257674874615,20.004525023779536
0.0050188495561836015,0.0016283026948784288,20.000000000000455,20.000000003612286,20.000000848366028,20.000007308258773,20.00003527298111,20.00012376450576,20.000282903236325,20.000582003667603,20.001131562743012,20.002101440206616,20.003735460049313
